Original Image Path,Label,Original Subset,Subset,Image Path
marvel/train/black widow/pic_290.jpg,black widow,train,train,dataset/train/black widow/pic_290.jpg
marvel/train/loki/pic_060.jpg,loki,train,train,dataset/train/loki/pic_060.jpg
marvel/train/thanos/pic_139.jpg,thanos,train,train,dataset/train/thanos/pic_139.jpg
marvel/train/loki/pic_162.jpg,loki,train,train,dataset/train/loki/pic_162.jpg
marvel/train/hulk/pic_077.jpg,hulk,train,train,dataset/train/hulk/pic_077.jpg
marvel/train/doctor strange/pic_248.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_248.jpg
marvel/train/doctor strange/pic_230.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_230.jpg
marvel/train/doctor strange/pic_291.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_291.jpg
marvel/train/captain america/pic_370.jpg,captain america,train,train,dataset/train/captain america/pic_370.jpg
marvel/train/thanos/pic_220.jpg,thanos,train,train,dataset/train/thanos/pic_220.jpg
marvel/train/captain america/pic_054.jpg,captain america,train,train,dataset/train/captain america/pic_054.jpg
marvel/train/captain america/pic_132.jpg,captain america,train,train,dataset/train/captain america/pic_132.jpg
marvel/train/hulk/pic_118.jpg,hulk,train,train,dataset/train/hulk/pic_118.jpg
marvel/train/thanos/pic_324.jpg,thanos,train,train,dataset/train/thanos/pic_324.jpg
marvel/train/captain america/pic_106.jpg,captain america,train,train,dataset/train/captain america/pic_106.jpg
marvel/train/ironman/pic_331.jpg,ironman,train,train,dataset/train/ironman/pic_331.jpg
marvel/train/doctor strange/pic_108.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_108.jpg
marvel/train/doctor strange/pic_005.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_005.jpg
marvel/train/hulk/pic_380.jpg,hulk,train,train,dataset/train/hulk/pic_380.jpg
marvel/train/black widow/pic_293.jpg,black widow,train,train,dataset/train/black widow/pic_293.jpg
marvel/train/ironman/pic_304.jpg,ironman,train,train,dataset/train/ironman/pic_304.jpg
marvel/train/ironman/pic_096.jpg,ironman,train,train,dataset/train/ironman/pic_096.jpg
marvel/train/captain america/pic_159.jpg,captain america,train,train,dataset/train/captain america/pic_159.jpg
marvel/train/hulk/pic_114.jpg,hulk,train,train,dataset/train/hulk/pic_114.jpg
marvel/train/thanos/pic_051.jpg,thanos,train,train,dataset/train/thanos/pic_051.jpg
marvel/train/loki/pic_223.jpg,loki,train,train,dataset/train/loki/pic_223.jpg
marvel/train/doctor strange/pic_383.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_383.jpg
marvel/train/black widow/pic_376.jpg,black widow,train,train,dataset/train/black widow/pic_376.jpg
marvel/train/black widow/pic_183.jpg,black widow,train,train,dataset/train/black widow/pic_183.jpg
marvel/train/thanos/pic_240.jpg,thanos,train,train,dataset/train/thanos/pic_240.jpg
marvel/train/spider-man/pic_365.jpg,spider-man,train,train,dataset/train/spider-man/pic_365.jpg
marvel/train/hulk/pic_195.jpg,hulk,train,train,dataset/train/hulk/pic_195.jpg
marvel/train/spider-man/pic_289.jpg,spider-man,train,train,dataset/train/spider-man/pic_289.jpg
