Subset,Loss,Accuracy,F1-Macro
Train,2.1273874759674074,0.1311301331227437,0.11748831923683674
Valid,2.1121387481689453,0.138996138996139,0.14427970506234744
Train,2.0787529945373535,0.16082891471119135,0.14838664072912308
Valid,2.03515625,0.1776061776061776,0.1829208973771675
Train,2.0077868938446044,0.22132784296028882,0.21754375261505068
Valid,1.9527329206466675,0.27413127413127414,0.2713705119897415
Train,1.9321664810180663,0.291438684566787,0.28458099479990706
Valid,1.8763668537139893,0.3552123552123552,0.338188494252107
Train,1.8543695211410522,0.33496305279783395,0.32233180032013603
Valid,1.8067349195480347,0.4015444015444015,0.3823747171086616
Train,1.7869482517242432,0.38273634927797834,0.36892171724149825
Valid,1.744403600692749,0.44787644787644787,0.42916367401661515
Train,1.718963122367859,0.41575050767148014,0.4022572885144583
Valid,1.689943790435791,0.47876447876447875,0.4634978492642599
Train,1.6683419227600098,0.4532970442238267,0.44378573360644846
Valid,1.643517017364502,0.4826254826254826,0.4716800834982102
Train,1.6230910778045655,0.4780841042418773,0.4701782992368302
Valid,1.6046406030654907,0.4942084942084942,0.485133529055007
Train,1.5821885347366333,0.48583737590252707,0.47817815749585774
Valid,1.5720893144607544,0.5173745173745173,0.5108760178869165
Train,1.536957597732544,0.5101266358303249,0.5004271985738467
Valid,1.5437662601470947,0.5366795366795367,0.5312159816128931
Train,1.510045051574707,0.512955494133574,0.5053147707452559
Valid,1.5190509557724,0.5366795366795367,0.5331416016104482
Train,1.4719728708267212,0.5446074007220216,0.5381558947038031
Valid,1.4978529214859009,0.5366795366795367,0.5318967066769038
Train,1.4639403343200683,0.5267458258122744,0.5204283426537721
Valid,1.4794191122055054,0.5482625482625483,0.5434172076732513
Train,1.4453166007995606,0.5372927008122744,0.5310697620627757
Valid,1.4631595611572266,0.5482625482625483,0.5436477953558339
Train,1.422101378440857,0.550490749097473,0.5465205824455073
Valid,1.4491113424301147,0.5482625482625483,0.5433291488755025
Train,1.404223370552063,0.5614987590252707,0.5599083884358211
Valid,1.4366968870162964,0.5714285714285714,0.5659808108912969
Train,1.3986662864685058,0.5569776624548737,0.5529815946628153
Valid,1.4257091283798218,0.5752895752895753,0.5691243395300905
Train,1.372802448272705,0.5698203407039711,0.5639641728331048
Valid,1.4155259132385254,0.5752895752895753,0.5701142335932242
Train,1.3637721538543701,0.5737378722924188,0.5701795120958898
Valid,1.4062697887420654,0.5791505791505791,0.5746509904292421
Train,1.3632866382598876,0.5758574007220216,0.5713828107897168
Valid,1.3979159593582153,0.583011583011583,0.5783431402133832
Train,1.3436564922332763,0.5876466606498194,0.5847133840699168
Valid,1.3905847072601318,0.583011583011583,0.5783431402133832
Train,1.3346558809280396,0.5906179490072202,0.5855503944875879
Valid,1.3840199708938599,0.583011583011583,0.5783431402133832
Train,1.3307648181915284,0.5856822540613719,0.5823313327356409
Valid,1.378269076347351,0.5752895752895753,0.5695094992915103
Train,1.3348388433456422,0.583303249097473,0.5794967292886032
Valid,1.372950553894043,0.5752895752895753,0.5690872520472292
Train,1.3167531728744506,0.5884871389891696,0.5846155069202121
Valid,1.3680238723754883,0.5714285714285714,0.564508209799431
Train,1.3077715635299683,0.6059820622743682,0.6035292763273947
Valid,1.3637385368347168,0.5752895752895753,0.5682008159334676
Train,1.3123216152191162,0.5959569607400722,0.5929755371553507
Valid,1.3598620891571045,0.5752895752895753,0.5682008159334676
Train,1.29872727394104,0.5959922157039712,0.5923832073700407
Valid,1.3565229177474976,0.5675675675675675,0.5608526668589335
Train,1.300257182121277,0.5900143840252707,0.5857229514350649
Valid,1.3533343076705933,0.5675675675675675,0.5608526668589335
Train,1.2927906036376953,0.5948203407039712,0.5917378055842987
Valid,1.3504135608673096,0.5675675675675675,0.5608526668589335
Train,1.2882510662078857,0.5975307423285199,0.5947660113491227
Valid,1.3479541540145874,0.5675675675675675,0.5608526668589335
Train,1.2827869415283204,0.6044195622743682,0.5992811101193316
Valid,1.3457283973693848,0.5675675675675675,0.5608526668589335
Train,1.277315330505371,0.6015907039711191,0.5984697045874344
Valid,1.3437061309814453,0.5675675675675675,0.5608526668589335
Train,1.2869278907775878,0.5975547157039711,0.5949552341896339
Valid,1.3419297933578491,0.5675675675675675,0.5610885931240596
Train,1.2580906867980957,0.6199021322202166,0.6168868999041527
Valid,1.340401291847229,0.5675675675675675,0.5610885931240596
