Subset,Loss,Accuracy,F1-Macro
Train,2.1082631587982177,0.1282773014440433,0.12438233570604407
Valid,2.0627074241638184,0.1776061776061776,0.157427850175397
Train,2.066791534423828,0.17264214801444044,0.16426762426755803
Valid,1.974771499633789,0.25096525096525096,0.23801241830081493
Train,1.9859680652618408,0.23882276624548737,0.2245704269604592
Valid,1.8753939867019653,0.3552123552123552,0.34132993146476615
Train,1.8897686719894409,0.3286185694945848,0.3175541472724345
Valid,1.7775624990463257,0.3938223938223938,0.375337967429645
Train,1.800833535194397,0.40803249097472927,0.3976483144306707
Valid,1.6898688077926636,0.4247104247104247,0.400437455154794
Train,1.7207380533218384,0.455274142599278,0.4436086619265705
Valid,1.6175522804260254,0.4826254826254826,0.4679958585248579
Train,1.6385724067687988,0.5004554941335739,0.49246062615513003
Valid,1.5573937892913818,0.4942084942084942,0.4795460320186991
Train,1.5844948053359986,0.5088602775270757,0.5029475412185409
Valid,1.512626051902771,0.5328185328185329,0.527943879272124
Train,1.5275832891464234,0.5407843524368231,0.5361570526656763
Valid,1.4745546579360962,0.528957528957529,0.5246884178414994
Train,1.4902252912521363,0.5455663357400722,0.5416761432003957
Valid,1.4387153387069702,0.5366795366795367,0.5324752874140729
Train,1.4525789499282837,0.5432818140794223,0.5384153946531937
Valid,1.4080053567886353,0.5405405405405406,0.5328302534666223
Train,1.4297598361968995,0.5570721457581227,0.5485733031247089
Valid,1.3824163675308228,0.5366795366795367,0.5280421908690301
Train,1.3886492252349854,0.5770292757220217,0.5718918371731869
Valid,1.3585805892944336,0.5637065637065637,0.5606429349328363
Train,1.3773189306259155,0.5818817689530686,0.5806072931538393
Valid,1.3393685817718506,0.5714285714285714,0.5708929142029078
Train,1.3632192611694336,0.5824148240072202,0.578908181003467
Valid,1.3255959749221802,0.5714285714285714,0.5702100841604598
Train,1.341577172279358,0.5897182423285199,0.5872735207874118
Valid,1.3132398128509521,0.5598455598455598,0.5584798832116358
Train,1.321814274787903,0.6008926556859205,0.5971050052387564
Valid,1.30307936668396,0.5637065637065637,0.5572898254529386
Train,1.2905959367752076,0.6106103339350181,0.6071190275727518
Valid,1.290980339050293,0.5752895752895753,0.5696931351350913
Train,1.2891979455947875,0.6054729805956679,0.6003978599799424
Valid,1.2803159952163696,0.5984555984555985,0.5952403963535757
Train,1.2851858139038086,0.606089237364621,0.605944351494679
Valid,1.2695181369781494,0.5984555984555985,0.5963668955353005
Train,1.2570051908493043,0.6144926105595668,0.610873909314558
Valid,1.2618021965026855,0.6177606177606177,0.6164602813229672
Train,1.2442293405532836,0.6293011055956679,0.6287104396737634
Valid,1.2551090717315674,0.61003861003861,0.6083496568790686
Train,1.24234459400177,0.6236546705776174,0.619330799258418
Valid,1.2474782466888428,0.6138996138996139,0.6118241055750657
Train,1.2438700675964356,0.6232993005415162,0.6183263645681152
Valid,1.2419040203094482,0.61003861003861,0.6075699224182702
Train,1.2412968873977661,0.6221161439530686,0.6196732838832294
Valid,1.2373689413070679,0.6138996138996139,0.6103825714122798
Train,1.2120954751968385,0.6372673172382671,0.6336497641886586
Valid,1.23198664188385,0.6138996138996139,0.610628810903243
Train,1.2330169916152953,0.6205183889891697,0.6181472334825664
Valid,1.2281750440597534,0.6177606177606177,0.6146769010358147
Train,1.2208768844604492,0.6289936823104693,0.6258517992101421
Valid,1.2250382900238037,0.6177606177606177,0.615773402026599
Train,1.2183353424072265,0.6257149706678701,0.6231055451370097
Valid,1.221133828163147,0.6177606177606177,0.6154518911787723
Train,1.2169259548187257,0.6288752256317689,0.627444594212822
Valid,1.2175523042678833,0.6216216216216216,0.619639786128927
Train,1.2026968717575073,0.6355271322202166,0.6316562475776346
Valid,1.2146672010421753,0.6216216216216216,0.6204428099273502
Train,1.188633418083191,0.6481216155234657,0.6464074992108687
Valid,1.2124419212341309,0.6177606177606177,0.6157500977993305
Train,1.1901052951812745,0.6513298172382671,0.6489606674678674
Valid,1.2106999158859253,0.6177606177606177,0.6158522588846871
Train,1.2026989936828614,0.6394094088447654,0.6376633311630336
Valid,1.2083007097244263,0.6254826254826255,0.623803223065075
Train,1.1868481636047363,0.6446539372743683,0.641176345997078
Valid,1.206837773323059,0.6254826254826255,0.6236259069919061
Train,1.1959990024566651,0.63782434566787,0.635887709191515
Valid,1.2052189111709595,0.6254826254826255,0.6237178168398811
Train,1.1748424530029298,0.6424991538808664,0.6403890041112976
Valid,1.203436255455017,0.6293436293436293,0.6269304103471791
Train,1.2066970586776733,0.6248984657039711,0.6231245266567444
Valid,1.2022836208343506,0.6332046332046332,0.6311344151547705
Train,1.1842892646789551,0.6389130189530686,0.6372126308895911
Valid,1.201750636100769,0.6293436293436293,0.6265819964349376
Train,1.1851174116134644,0.6414457355595669,0.6389850480088309
Valid,1.2003986835479736,0.6332046332046332,0.6311344151547705
Train,1.1745679140090943,0.6415641922382671,0.6394687108181978
