Perturbation,Value,Loss,Accuracy,F1-Macro
Brightness Decrease,0.0,1.1016831398010254,0.6696230598669624,0.6695076474348219
Brightness Decrease,5.0,1.1019351482391357,0.6629711751662971,0.6630163590373337
Brightness Decrease,10.0,1.1070419549942017,0.6651884700665188,0.6651484262901931
Brightness Decrease,15.0,1.1122171878814697,0.6585365853658537,0.6583127000606441
Brightness Decrease,20.0,1.1148862838745117,0.6585365853658537,0.6584495840815211
Brightness Decrease,25.0,1.1203386783599854,0.6496674057649667,0.6497506475773009
Brightness Decrease,30.0,1.1297608613967896,0.6407982261640798,0.6412082874517671
Brightness Decrease,35.0,1.1397935152053833,0.6341463414634146,0.6349722742973212
Brightness Decrease,40.0,1.1538829803466797,0.6119733924611973,0.6138528370704429
Brightness Decrease,45.0,1.1827359199523926,0.6053215077605322,0.6064984076487872
Brightness Increase,0.0,1.1016831398010254,0.6696230598669624,0.6695076474348219
Brightness Increase,5.0,1.1007088422775269,0.6629711751662971,0.6622668755088691
Brightness Increase,10.0,1.099921464920044,0.6585365853658537,0.6572230981214292
Brightness Increase,15.0,1.0993751287460327,0.6518847006651884,0.6505911592070377
Brightness Increase,20.0,1.0980632305145264,0.6607538802660754,0.6604419259253109
Brightness Increase,25.0,1.0994690656661987,0.6518847006651884,0.6512911287794253
Brightness Increase,30.0,1.1011815071105957,0.6518847006651884,0.6504407629945058
Brightness Increase,35.0,1.1000375747680664,0.6541019955654102,0.6533562475184163
Brightness Increase,40.0,1.10565984249115,0.6607538802660754,0.660891679006139
Brightness Increase,45.0,1.1058547496795654,0.6651884700665188,0.6663694023395442
Contrast Decrease,0.1,1.9143365621566772,0.2727272727272727,0.24330587901691003
Contrast Decrease,0.2,1.4666281938552856,0.4789356984478936,0.48225118784785337
Contrast Decrease,0.3,1.2890055179595947,0.549889135254989,0.5528156350087943
Contrast Decrease,0.4,1.210875153541565,0.5898004434589801,0.5898649477587268
Contrast Decrease,0.6,1.138002634048462,0.6319290465631929,0.6298089492233571
Contrast Decrease,0.8,1.1061605215072632,0.6407982261640798,0.6387585013286836
Contrast Decrease,0.85,1.109535574913025,0.6430155210643016,0.6419483937441124
Contrast Decrease,0.9,1.1020300388336182,0.6607538802660754,0.6599123285219513
Contrast Decrease,0.95,1.099341869354248,0.6696230598669624,0.6696665954775196
Contrast Decrease,1.0,1.1016831398010254,0.6696230598669624,0.6695076474348219
Contrast Increase,1.0,1.1016831398010254,0.6696230598669624,0.6695076474348219
Contrast Increase,1.01,1.1008554697036743,0.6607538802660754,0.6602922794161674
Contrast Increase,1.02,1.0970206260681152,0.6607538802660754,0.6603849443005027
Contrast Increase,1.03,1.0967823266983032,0.6541019955654102,0.6538090633863443
Contrast Increase,1.04,1.0960335731506348,0.656319290465632,0.6557643701284025
Contrast Increase,1.05,1.0948959589004517,0.6585365853658537,0.6577348757735586
Contrast Increase,1.1,1.103158712387085,0.656319290465632,0.6560161990922614
Contrast Increase,1.15,1.0996456146240234,0.6518847006651884,0.6511345569293495
Contrast Increase,1.2,1.0979965925216675,0.6607538802660754,0.6607748107249531
Contrast Increase,1.25,1.1016393899917603,0.6496674057649667,0.6501571921271481
Gaussian Blur,0.0,1.101587176322937,0.6688741721854304,0.6689558931919257
Gaussian Blur,1.0,1.2149611711502075,0.6053215077605322,0.6014479681330822
Gaussian Blur,2.0,1.2738076448440552,0.5764966740576497,0.5734992602688609
Gaussian Blur,3.0,1.3229566812515259,0.5543237250554324,0.5473741112362493
Gaussian Blur,4.0,1.3590742349624634,0.5365853658536586,0.5270386599046256
Gaussian Blur,5.0,1.3883116245269775,0.516629711751663,0.5047710501827134
Gaussian Blur,6.0,1.417676329612732,0.5254988913525499,0.5142307710174343
Gaussian Blur,7.0,1.4358272552490234,0.5144124168514412,0.4993941093192307
Gaussian Blur,8.0,1.447635531425476,0.504424778761062,0.48992582198581225
Gaussian Blur,9.0,1.4644616842269897,0.5033259423503326,0.48969991341635033
Gaussian Pixel Noise,0.0,1.1016831398010254,0.6696230598669624,0.6695076474348219
Gaussian Pixel Noise,2.0,1.0953024625778198,0.6585365853658537,0.6570179907444058
Gaussian Pixel Noise,4.0,1.1054638624191284,0.6252771618625277,0.6235157706893529
Gaussian Pixel Noise,6.0,1.1165335178375244,0.6297117516629712,0.6262008167278008
Gaussian Pixel Noise,8.0,1.1271401643753052,0.6297117516629712,0.6262509264721815
Gaussian Pixel Noise,10.0,1.159359097480774,0.5986696230598669,0.5929612841848866
Gaussian Pixel Noise,12.0,1.203127384185791,0.6075388026607539,0.5999456852049591
Gaussian Pixel Noise,14.0,1.2075436115264893,0.5853658536585366,0.5760639264647067
Gaussian Pixel Noise,16.0,1.2623347043991089,0.5587583148558758,0.5485239110175695
Gaussian Pixel Noise,18.0,1.3050090074539185,0.5587583148558758,0.5476503496357281
Occlusion,0.0,1.0999447107315063,0.6703539823008849,0.6704722363056099
Occlusion,5.0,1.099787712097168,0.6607538802660754,0.6612210264616467
Occlusion,10.0,1.1060889959335327,0.6651884700665188,0.6643615748737932
Occlusion,15.0,1.1098090410232544,0.6651884700665188,0.6654701476110166
Occlusion,20.0,1.1065962314605713,0.6496674057649667,0.6482722131434344
Occlusion,25.0,1.1047216653823853,0.6541019955654102,0.6531982308894133
Occlusion,30.0,1.1106064319610596,0.6518847006651884,0.6514640351731542
Occlusion,35.0,1.129211187362671,0.6607538802660754,0.6598603546158481
Occlusion,40.0,1.130840539932251,0.656319290465632,0.6563606929810217
Occlusion,45.0,1.135334849357605,0.6518847006651884,0.6493206573401895
Salt And Pepper,0.0,1.1016831398010254,0.6696230598669624,0.6695076474348219
Salt And Pepper,0.02,1.3022643327713013,0.5764966740576497,0.5811923767003581
Salt And Pepper,0.04,1.4212205410003662,0.49002217294900224,0.4903281923382951
Salt And Pepper,0.06,1.5647759437561035,0.4279379157427938,0.4220850361070182
Salt And Pepper,0.08,1.7365944385528564,0.3436807095343681,0.3184855266005099
Salt And Pepper,0.1,1.9175145626068115,0.2727272727272727,0.24216239693054856
Salt And Pepper,0.12,2.039163827896118,0.22172949002217296,0.18956401319062338
Salt And Pepper,0.14,2.1186859607696533,0.164079822616408,0.11004822064638911
Salt And Pepper,0.16,2.1650846004486084,0.1574279379157428,0.09159572557335377
Salt And Pepper,0.18,2.1808762550354004,0.1419068736141907,0.0682537481834923
